場名,場コード,開催日,レース,枠,登録番号,級別,氏名,F数,L数,平均ST,全国勝率,全国2連率,全国3連率,当地勝率,当地2連率,当地3連率,支部,出身,年齢,締切時刻
桐生,01,20260618,11R,2,3643,B1,米田　　隆弘,0,0,0.17,5.35,31.07,51.46,5.38,25.00,50.00,岡山,岡山,53,20:11
桐生,01,20260618,11R,3,4568,A2,廣瀬　　真也,0,0,0.16,5.50,32.22,55.56,5.38,33.33,57.78,東京,神奈川,38,20:11
桐生,01,20260618,11R,4,3554,A1,仲口　　博崇,0,0,0.18,6.31,47.69,67.69,6.30,55.00,65.00,愛知,愛知,53,20:11
桐生,01,20260618,11R,5,4808,A1,松尾　　　拓,0,0,0.16,5.68,34.74,54.74,6.00,42.11,55.26,三重,三重,37,20:11
桐生,01,20260618,11R,6,4593,A2,小坂　　宗司,0,0,0.16,6.01,35.51,65.42,6.28,44.83,62.07,大阪,兵庫,45,20:11
桐生,01,20260618,12R,1,5034,A1,若林　　義人,0,0,0.14,6.80,53.85,67.69,6.20,43.33,60.00,静岡,静岡,28,20:41
桐生,01,20260618,12R,2,5089,A1,前田　　　翔,0,0,0.16,6.94,53.93,77.53,6.65,50.00,70.00,愛知,愛知,26,20:41
桐生,01,20260618,12R,3,3581,B1,加木　　　郁,0,0,0.19,4.71,24.04,42.31,3.50,16.67,16.67,山口,山口,53,20:41
桐生,01,20260618,12R,4,5163,A1,清水　　愛海,0,0,0.17,5.93,40.23,55.17,7.84,68.42,78.95,山口,山口,26,20:41
桐生,01,20260618,12R,5,4644,A2,山田　　亮太,0,0,0.15,6.23,44.26,65.57,5.97,36.36,63.64,東京,東京,47,20:41
桐生,01,20260618,12R,6,4549,B1,小林　　文彦,0,0,0.19,6.00,36.84,63.16,4.80,20.00,40.00,福岡,福岡,37,20:41
戸田,02,20260620,1R,1,5013,B1,山下　　夏鈴,1,0,0.17,5.50,37.04,51.85,1.78,0.00,0.00,三重,三重,28,10:47
戸田,02,20260620,1R,2,5283,B1,植木　　美帆,0,0,0.17,2.49,5.26,7.02,3.17,10.00,23.33,東京,東京,22,10:47
戸田,02,20260620,1R,3,4300,B1,加藤　　　綾,0,0,0.17,5.26,30.10,55.34,6.88,47.06,70.59,三重,三重,43,10:47
戸田,02,20260620,1R,4,3302,B1,谷川　　里江,0,0,0.18,4.73,27.03,45.95,3.42,0.00,31.58,愛知,愛知,58,10:47
戸田,02,20260620,1R,5,4987,B1,島倉　　　都,0,0,0.17,3.75,16.46,25.32,4.34,15.79,36.84,群馬,新潟,29,10:47
戸田,02,20260620,1R,6,5287,B1,滝沢　　織寧,1,0,0.17,3.56,11.54,23.08,3.62,10.00,29.00,埼玉,埼玉,26,10:47
戸田,02,20260620,2R,1,4479,B1,矢野　真梨菜,0,0,0.18,3.73,14.93,28.36,0.00,0.00,0.00,山口,福岡,38,11:16
戸田,02,20260620,2R,2,4387,A1,平山　　智加,0,0,0.15,6.78,46.40,70.40,7.41,52.94,76.47,香川,香川,40,11:16
戸田,02,20260620,2R,3,4791,A2,黒澤　めぐみ,0,0,0.17,5.40,32.99,53.61,6.48,50.00,65.00,東京,神奈川,36,11:16
戸田,02,20260620,2R,4,5117,B1,冨名腰　桃奈,0,0,0.18,4.37,23.94,42.25,3.56,22.22,22.22,福岡,沖縄,26,11:16
戸田,02,20260620,2R,5,4714,B1,喜多須　杏奈,0,0,0.17,4.80,19.51,46.34,4.57,28.57,42.86,徳島,徳島,35,11:16
