登録番号,集計開始,集計終了,出走数,1着数,逃げ,差し,まくり,まくり差し,抜き,恵まれ,まくり率,差し率,前づけ平均,前づけ率
5361,2025-12-27,2026-06-27,82,1,0,0,1,0,0,0,100.0,0.0,-0.11,1.2
5362,2025-12-27,2026-06-27,91,1,1,0,0,0,0,0,0.0,0.0,-0.15,1.1
5363,2025-12-27,2026-06-27,51,0,0,0,0,0,0,0,,,-0.34,0.0
5364,2025-12-27,2026-06-27,94,2,0,0,0,1,1,0,0.0,0.0,-0.09,0.0
5365,2025-12-27,2026-06-27,98,1,0,0,1,0,0,0,100.0,0.0,-0.03,0.0
5366,2025-12-27,2026-06-27,78,0,0,0,0,0,0,0,,,-0.19,0.0
5367,2025-12-27,2026-06-27,63,2,0,0,2,0,0,0,100.0,0.0,-0.21,0.0
5368,2025-12-27,2026-06-27,70,12,7,0,5,0,0,0,41.7,0.0,-0.04,0.0
5369,2025-12-27,2026-06-27,85,4,1,1,2,0,0,0,50.0,25.0,-0.05,0.0
5370,2025-12-27,2026-06-27,43,0,0,0,0,0,0,0,,,-0.17,0.0
5371,2025-12-27,2026-06-27,75,1,0,0,1,0,0,0,100.0,0.0,-0.05,0.0
5372,2025-12-27,2026-06-27,70,0,0,0,0,0,0,0,,,-0.46,0.0
5373,2025-12-27,2026-06-27,74,1,0,0,0,1,0,0,0.0,0.0,-0.11,0.0
5374,2025-12-27,2026-06-27,88,0,0,0,0,0,0,0,,,-0.14,0.0
5375,2025-12-27,2026-06-27,87,1,0,0,0,1,0,0,0.0,0.0,-0.33,0.0
5376,2025-12-27,2026-06-27,104,9,7,0,0,2,0,0,0.0,0.0,-0.01,0.0
5377,2025-12-27,2026-06-27,85,7,2,0,3,2,0,0,42.9,0.0,-0.06,0.0
5378,2025-12-27,2026-06-27,86,0,0,0,0,0,0,0,,,-0.19,0.0
5379,2025-12-27,2026-06-27,74,2,2,0,0,0,0,0,0.0,0.0,-0.17,0.0
5380,2025-12-27,2026-06-27,91,0,0,0,0,0,0,0,,,-0.14,0.0
5381,2025-12-27,2026-06-27,97,5,3,0,2,0,0,0,40.0,0.0,-0.04,0.0
5382,2025-12-27,2026-06-27,78,1,0,0,0,1,0,0,0.0,0.0,-0.08,0.0
5383,2025-12-27,2026-06-27,84,0,0,0,0,0,0,0,,,-0.23,0.0
5384,2025-12-27,2026-06-27,89,2,0,0,0,2,0,0,0.0,0.0,-0.27,0.0
5385,2025-12-27,2026-06-27,81,1,0,0,1,0,0,0,100.0,0.0,-0.25,0.0
5386,2025-12-27,2026-06-27,86,4,2,0,2,0,0,0,50.0,0.0,-0.06,0.0
5387,2025-12-27,2026-06-27,67,0,0,0,0,0,0,0,,,-0.27,0.0
5388,2025-12-27,2026-06-27,87,7,0,1,3,3,0,0,42.9,14.3,-0.19,0.0
5389,2025-12-27,2026-06-27,75,1,0,1,0,0,0,0,0.0,100.0,-0.13,0.0
5390,2025-12-27,2026-06-27,65,1,0,0,1,0,0,0,100.0,0.0,-0.14,0.0
5391,2025-12-27,2026-06-27,65,0,0,0,0,0,0,0,,,-0.28,0.0
5392,2025-12-27,2026-06-27,84,0,0,0,0,0,0,0,,,-0.17,0.0
5393,2025-12-27,2026-06-27,86,0,0,0,0,0,0,0,,,-0.38,0.0
5394,2025-12-27,2026-06-27,102,2,0,1,1,0,0,0,50.0,50.0,-0.09,0.0
5395,2025-12-27,2026-06-27,80,3,0,1,0,2,0,0,0.0,33.3,-0.12,0.0
